putative Compound	hum_101_1 _cer	hum_102_1 _cer	hum_103_1 _cer	hum_104_1 _cer	hum_105_1 _cer	hum_106_1 _cer	hum_120_1 _cer	hum_121_1 _cer	hum_141_1 _cer	hum_153_1 _cer	hum_98_1 _cer	Wt_132_1 _cer	Wt_133_1 _cer	Wt_134_1 _cer	Wt_135_1 _cer	Wt_142_1 _cer	Wt_147_1 _cer	Wt_148_1 _cer	Wt_91_1 _cer	Wt_wt1_1 _cer
Galactaric_acid_(6TMS)_658294.38_TRUE	313797	319515	344697	337041	370542	447524	379312	376681	380804	390588	384282	406933	363470	404516	544285	395963	432486	405692	603992	418014
Galactitol_(6TMS)_590143.5_TRUE	715	353	659	920	797	823	1432	5343	2392	945	1084	2759	1717	658	1585	478	1391	554	1335	3760
"Galactonic_acid-1,4-lactone_(4TMS)_619566.38_PRED"	164	1434	221	101	1565	38345	106	120	3172	346	145	262	174	245	206	133	20017	13223	1252	120
"Galactono-1,4-lactone [MP-1.1]"	559	591	568	449	639	719	616	693	491	597	496	602	562	552	708	573	521	503	1089	629
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	11162	8663	10022	9132	12101	10560	15815	16444	8967	11830	12808	10866	11633	13174	17802	13954	9224	10692	24529	15906
"Galactopyranoside,_1-O-methyl-,_beta-_(4TMS)_598177.19_TRUE"	26850	27728	29045	27290	26255	25787	23805	26510	27620	27756	27899	25951	26226	26528	27966	27330	27200	27108	26844	27389
GlucoNaNte|GalactoNaNte [MP-1.1]	25859	23811	26830	28058	23905	30472	30972	27521	26881	26179	28764	26052	28126	33344	30746	31492	29427	25287	27665	27295
"Gluconic_acid,_2-oxo-_(1MEOX)_(5TMS)_BP_593592.06_TRUE"	540	563	589	491	511	604	606	524	506	514	592	532	480	557	628	549	481	517	534	521
Gluconic_acid-6-phosphate_[-H2O]_(5TMS)_762561.19_TRUE	556	167	326	552	224	144	770	878	116	300	501	336	758	789	837	714	118	123	2350	849
"Glucopyranose,_D-_(5TMS)_644536.81_PRED"	148	1923	358	218	1457	8931	259	234	1812	1096	446	677	286	275	529	217	11137	6488	869	218
"Glucopyranose,_D-_(5TMS)_678044.25_PRED"	1253	1664	1340	1195	1510	1746	1462	1513	1296	1729	1478	1500	1247	1437	1388	1526	1314	1688	NaN	1313
Glucopyranose_[-H20]_(4TMS)_561007.94_TRUE	1255	1441	1599	1134	1911	2205	1556	1631	1899	1891	1347	2008	1438	1701	1926	1694	2076	1990	1099	1612
"Glucopyranoside,_1-O-methyl-,_alpha-_(4TMS)_613929.06_TRUE"	1292	1110	1320	1047	1563	1220	1451	2001	1180	1544	1420	1776	1378	1508	1876	1757	919	1263	1172	1896
Glucose (1MEOX;5TMS) [MP-1.1]	1399	841	1067	1687	1805	1672	2861	9935	4546	1696	2142	5309	3561	1309	2930	853	2643	843	2435	6716
"Glucose,_2-amino-2-deoxy-_(4TMS)_BP_659366.94_PRED"	98053	121048	137003	100473	142536	172376	151920	136653	93629	114287	113099	104258	81588	92974	148320	107178	83755	114809	151430	123861
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	1643	1558	1724	1630	1708	1590	1666	2639	2267	1790	1786	2199	2152	1734	1863	1656	1770	1517	1859	2556
"Glucuronic_acid-3,6-lactone_(1MEOX)_(3TMS)_MP_657311_TRUE"	654792	661867	729831	707733	768624	914402	796863	812485	763188	815636	809291	814338	694366	778903	1109098	804629	769852	822970	1188447	865474
Glutamate (3TMS) [MP-1.1]	413259	442321	462308	484385	483255	563237	509608	475211	544237	640484	477031	540218	535631	585058	628431	533927	679351	614121	566995	499532
Glutamine ([-H2O]2TMS) [NN-3.1]	977	2488	4057	1233	3504	3597	1196	1168	1292	2985	1065	2467	971	994	1305	1128	969	2357	816	1179
Glutamine ([-H2O]3TMS) [NN-4.1]	264	637	1033	382	700	877	349	506	457	683	264	556	560	266	364	242	219	600	3160	274
Glutamine (4TMS) [MP-2.1]	879	2095	2533	791	2113	6107	832	1300	904	1148	695	1307	761	NaN	757	575	501	2128	842	865
Glutamine [MP-1.1]	335847	335183	341123	323832	314288	315529	280138	293472	333708	326641	325346	306053	315903	323508	324427	329340	347082	327225	310922	314848
"Glutamine,_N-acetyl-,_DL-_(3TMS)_655207.31_PRED"	14895	15564	17681	15325	18087	22541	18719	19122	16447	18276	18089	17412	14860	16581	24446	17943	15833	18391	25619	19165
Glutamine_(4TMS)_494755.44_PRED	260	702	915	344	699	847	351	408	435	603	251	537	515	229	270	133	NaN	543	3035	254
"Glutaric_acid,_2-hydroxy-_(3TMS)_488906.25_TRUE"	8007	9526	10377	8485	12957	14830	12860	11933	9192	10249	8948	10343	8378	9126	15268	10124	9399	10010	13762	11418
"Glutaric_acid,_2-oxo-_(1MEOX)_(2TMS)_BP_486148.94_PRED"	376	533	569	470	592	431	617	422	391	635	517	557	494	522	622	578	437	495	259	544
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	27115	28947	25034	22490	22026	40296	30656	38120	38059	36886	30250	37332	39961	29510	35215	28547	33652	28726	51073	42851
Glyceric_acid-3-phosphate_(4TMS)_606948.88_PRED	504	549	581	271	894	1026	948	803	481	696	534	340	393	317	509	380	175	422	187	1139
Glycerol ((3TMS)) [MP-1.1]	9187	9773	9986	8643	10854	11313	9892	10425	9163	22217	9304	9777	8613	10755	18312	11479	13484	14183	18749	13687
Glycerol 3-P (|Glycerol 1-P) [MP-1.1]	33898	29979	27485	31395	26868	38834	38589	40611	41651	43234	39446	41084	44301	44186	45514	41315	48132	32950	79320	46447
Glycerol-2-phosphate_(4TMS)_556161.06_TRUE	319	459	400	331	449	753	475	428	322	347	402	351	1759	307	525	294	244	415	909	389
Glycerophosphoglycerol_(5TMS)_761775.38_PRED	556	167	326	552	224	144	770	878	83	300	501	336	758	789	837	714	118	123	2350	849
Glycine (2TMS) [MP-2.1]	4824	25483	12852	7906	28993	45924	7918	5286	31108	24923	10378	21421	12142	6463	28258	6429	64331	36058	5975	8502
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	11709	14018	14443	13789	14873	15726	15597	15020	13111	16841	14160	15887	13689	16427	19135	15950	14908	15240	26687	14609
"Glycine,_N-cinNaNmoyl-,_trans-_(1TMS)_772530.69_PRED"	2850	2667	3640	2656	3286	3793	2936	2614	1849	2137	2989	2826	2236	2256	3300	2155	2135	3094	2573	2891
Glycylglycine_(3TMS)_628479.25_TRUE	7517	6817	7996	8117	6839	8862	8886	8012	7592	7682	8110	7610	8100	9588	8712	9353	8522	7269	8369	8018
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	2369	2035	2208	2582	2824	2477	2812	2673	2186	2781	2284	2452	2937	3338	3899	3060	3519	2399	3938	2596
Gulose_(1MEOX)_(5TMS)_MP_584150.19_TRUE	631	538	759	519	914	1016	854	964	625	876	793	712	624	752	1021	731	688	781	1186	860
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	2749	2504	2557	2891	2996	3119	3866	3601	2435	3357	3393	3237	5000	4447	5329	4564	3935	3094	4849	3397
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	73857	22970	27925	14787	32960	23949	24576	26075	19241	24477	20213	20849	19976	67205	27763	25154	36642	16340	2206	19431
"Hexacosane,_n-_908082.69_PRED"	775	835	956	824	989	1227	839	1034	868	1451	920	859	829	1002	1254	1073	1131	1287	1336	1176
"Hexadecane,_n-_486353.06_PRED"	16850	21091	26628	22560	21948	21572	25488	23094	17007	28893	23943	26898	21309	23187	27036	26735	18309	22402	3647	22614
Hexadecanoate (1TMS) [MP-1.1]	16849	14553	19871	13901	21627	26896	19469	19982	13217	14059	21372	15293	16976	14738	21145	15527	13932	18534	22490	16227
"Hexadecenoic_acid_methyl_ester,_9-(Z)-,_n-_652277.12_PRED"	4218	4402	5090	4728	5070	5958	5490	5436	4766	5667	5296	5262	4410	4976	7110	5293	4781	5227	7613	5728
"Hexanedioic_acid,_hydroxy-_(3TMS)_535302_TRUE"	9513	16971	19335	10974	18407	25053	13580	16295	13384	17889	11100	16766	11875	9928	16565	9235	8932	19512	5882	12575
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	208953	46704	56698	29828	67386	47193	51015	52930	37967	49957	40357	42329	40631	173457	56235	50663	74455	31547	4200	37733
Histamine_(3TMS)_653726.19_TRUE	1076	1167	1433	1239	1313	1896	1689	1631	1249	1455	1373	1362	1171	1336	2024	1446	1109	1491	1975	1650
Histidine (3TMS) [MP-1.1]	2954	4827	4571	4066	4870	4519	3726	5203	4001	4673	2633	5259	5502	3066	4340	2692	4330	4788	2958	3945
Histidine (4TMS) [MP-3.1]	1750	445	807	1439	572	366	2202	2302	163	847	1410	997	1821	2387	2317	2251	354	346	7557	2383
Homocysteine_(2TMS)_506276.72_PRED	8766	9996	11302	11309	11538	12434	12129	11903	11414	14468	11157	12439	11454	12875	14654	12306	12372	13370	14036	11737
Homoserine_(2TMS)_380616.94_PRED	11491	7302	10375	3786	14975	14049	11127	22609	10225	43302	15708	18266	6465	8688	25177	14458	14940	53789	147	20261
Homoserine_(4TMS)_510930.09_TRUE	46098	50627	55294	56905	57436	63824	60303	58171	62501	78156	57124	63310	62520	68966	74308	64139	69595	70723	71581	58806
Homoserine_lactone_(2TMS)_458933.88_PRED	9125	13916	14652	14597	18613	16644	17289	17937	17127	19914	14316	19557	17246	18602	28015	17006	21627	18354	28799	16441
Hypotaurine_(3TMS)_509415.53_TRUE	124606	135515	145704	146974	152368	169583	159556	151221	151840	189966	138142	161250	153376	175434	192147	162822	163795	174506	161019	153174
Hypoxanthine_(2TMS)_659841.12_TRUE	1387	2688	2140	1825	2706	2411	1430	1871	2090	2816	1834	2261	1730	1957	2888	2418	2797	3204	3360	2248
Indole-3-acetaldehyde_(1MEOX)_(1TMS)_BP_657093_PRED	1651	1882	2021	2079	2163	2283	2148	2175	2090	2367	2382	2251	1985	2211	3161	2200	2057	2258	3329	2326
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	1009	1292	1296	1057	1737	2031	1691	1345	1069	1354	1330	1073	928	994	1843	1068	973	1318	1608	1342
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	1384	1433	1499	1399	1648	1552	1580	1745	1453	1683	1603	1694	1639	1714	2554	1887	1856	1591	837	1961
Inosine_(4TMS)_904803.88_TRUE	7290	8227	8054	7574	8908	10054	7490	9136	8746	12641	8152	8249	8491	9392	11833	9880	10945	12619	13280	10642
"Inositol-2-phosphate,_myo-_(7TMS)_863697.56_PRED"	1044	1054	979	1018	1110	1389	1262	1366	995	908	1091	969	925	1245	1817	1026	1161	1081	625	1238
Isocitric_acid_(4TMS)_597989.19_TRUE	21581	21964	22976	21221	21816	22994	19100	19436	21682	21568	20941	20537	20094	20422	22073	20907	21791	21281	21136	20938
