putative Compound	hum_101_8 _tes	hum_102_8 _tes	hum_103_8 _tes	hum_104_8 _tes	hum_105_8 _tes	hum_106_8 _tes	hum_120_8 _tes	hum_121_8 _tes	hum_141_8 _tes	hum_153_8 _tes	hum_98_8 _tes	Wt_132_8 _tes	Wt_133_8 _tes	Wt_134_8 _tes	Wt_135_8 _tes	Wt_142_8 _tes	Wt_147_8 _tes	Wt_148_8 _tes	Wt_152_8 _tes	Wt_91_8 _tes	Wt_wt8_8 _tes
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	2119	4767	6097	5125	4387	5366	3053	4902	6291	5639	4485	6136	5717	4383	4314	6446	4811	2678	3799	4140	3299
"Pyridine, 4-Hydroxy- (1TMS) [MP-1.1]"	NaN	16465	16563	15759	15538	14108	1776	16246	14720	15342	16485	14505	15771	18233	16062	14106	14885	15461	16141	14244	14122
Pyroglutamate (2TMS) [MP-1.1]	33124	44687	42651	44362	43174	45590	66837	43639	35482	45457	37179	44265	44627	53769	41112	45959	46567	45446	40540	43525	46831
Pyroglutamic_acid_(2TMS)_507313.84_TRUE	NaN	95163	96027	97446	95846	97957	137645	93305	84233	97496	82985	95872	99925	113100	89605	95410	99075	98108	87363	93299	102280
Pyrophosphate [MP-1.1]	29	1748	1222	2191	1876	2981	2908	3261	3276	1717	1334	2549	4583	1392	1711	1597	1944	1353	1355	1354	2324
Pyruvate (1MEOX;1TMS) [MP-1.1]	233	602	759	560	657	529	1000	535	357	395	772	492	349	506	699	955	1006	1056	672	738	347
Pyruvic_acid_(2TMS)_209817.64_TRUE	84	2197	2608	2355	1940	2419	1856	2201	2548	2702	2261	2572	2317	2403	2284	2637	2679	2553	3092	2350	2342
Rhamnose (1MEOX;4TMS) [MP-1.1]	13	3256	1553	682	2569	2924	96	3014	2795	2822	2666	2690	958	2454	1375	2249	2376	2190	2921	2551	2670
Rhamnose_(1MEOX)_(4TMS)_BP_570616.31_PRED	3159	2968	3564	4341	2826	3445	5124	3035	3290	3088	2571	4398	3480	3741	3893	3496	3248	2832	3101	4156	3522
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	513	3047	3076	3189	4671	3299	57002	4733	2769	2765	4840	2922	4297	3284	3738	3274	4916	5156	4176	4123	2450
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	7480	11354	10488	11278	11202	11236	16250	10974	9316	11748	9856	11375	11449	13048	10133	11202	11726	11606	10383	11093	11357
Serine (3TMS) [MP-1.1]	5804	10210	9826	9720	8933	10545	14882	9785	9824	10071	9679	11081	10540	11445	9612	11300	10594	9784	9610	9472	10267
Serine (4TMS)	546	464	385	396	402	478	2733	549	427	481	461	452	459	718	379	507	580	383	428	443	380
"Serine, O-Acetyl- (2TMS) [MP-1.1]"	37	1045	1318	1545	610	816	48	804	NaN	46	549	428	745	359	1312	419	309	1275	405	713	47
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	4084	65405	62251	78185	90514	70353	1116	76720	67695	69457	77768	72767	78589	78158	61561	70944	75883	92251	68459	86770	83559
"Serine,_O-acetyl-_(2TMS)_410213.62_TRUE"	44	1265	1422	739	1301	2577	941	1802	2809	1793	1246	813	1467	572	1399	754	79	54	1584	1262	79
Serine_(2TMS)_328955.09_PRED	19816	9024	8937	8144	8236	7098	9517	7874	7445	8338	8297	8266	7043	8433	7999	9664	9775	7966	8358	9164	7839
Siloxane_739483_PRED	865	691	833	490	759	743	499	740	1055	777	569	1046	700	446	595	715	516	559	1205	371	812
Siloxane_905408.5_PRED	11999	5149	3691	2428	3356	2442	1958	2526	2459	4534	5114	2934	1834	3619	2843	6185	5861	4069	3702	6298	2485
similar_to_Asparagine_Derivate_505075.09_PRED	123	9386	9275	9976	9230	10017	14676	9263	7949	10071	8380	9567	9677	11538	8741	9762	10506	9868	8852	9267	10110
similar_to_Diethanolamine_(2TMS)_335362.44_PRED	3322	1669	1448	1380	1575	1394	2161	1561	1611	1686	1647	1398	1289	1464	1434	1659	1528	1521	1713	1787	1424
