putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
Fructose_(1MEOX)_(5TMS)_BP_585803.75_TRUE	21550	20300	22742	23177	23166	20660	23471	9186	23786	22705	23091	21427	23358	24737	23261	27902	22349	21885	24896	21751	21474	23831
"Fructose-1,6-diphosphate_(1MEOX)_(7TMS)_BP_915966.25_PRED"	2614	2997	3074	2520	2081	3675	3307	386	2238	5625	2364	2964	3464	4197	2791	2355	3123	10585	6264	2295	2887	4220
"Fructose-2,6-diphosphate_(7TMS)_912183.75_PRED"	4105	4252	4837	3875	3194	6674	5075	638	3832	8587	3410	4285	5105	6577	3901	3975	4545	15250	9484	3199	4622	6636
Fructose-6-phosphate_(1MEOX)_(6TMS)_BP_(Derivate_not_found)_768948_TRUE	1798	2265	2172	2155	2610	7077	3722	NaN	10813	6273	5502	4812	6081	7113	3228	5045	4410	5509	4762	6029	2432	8650
Fucose_(1MEOX)_(4TMS)_BP_528624.81_TRUE	68	617	2405	147	2354	NaN	800	11970	457	2058	2455	2665	NaN	1625	NaN	1358	1177	2686	1229	2139	2465	1887
Fucose_(1MEOX)_(4TMS)_MP_522432.03_TRUE	1292	1164	NaN	NaN	4003	4673	1224	16577	1061	3106	3888	4015	2377	2373	5418	1919	2460	5053	1997	3675	4084	2432
Fucose|Epifucose (1MEOX;4TMS) [MP-1.1]	1292	800	3647	839	3397	4673	903	16577	938	3094	3702	4015	2391	2366	NaN	1830	2111	4678	1997	3433	4084	2328
Fumarate (2TMS) [MP-1.1]	2291	2785	2069	1336	1432	2787	2553	2889	1023	2120	3903	1455	2476	1941	4897	917	1490	3524	2075	1421	1992	1260
Galactaric_acid_(6TMS)_658294.38_TRUE	3910	10020	4596	3749	6385	5841	2812	749986	4910	5947	6614	9126	3168	1441	7219	3050	2891	6401	5771	7188	4437	4421
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	23703	22801	25571	25544	25059	23036	26419	6900	26521	26749	25352	23597	25956	27499	25847	30730	25089	23218	28146	24558	23286	26875
"Galactopyranoside,_1-O-methyl-,_beta-_(4TMS)_598177.19_TRUE"	13173	11708	10897	11109	13130	12296	9363	18625	11488	11553	8950	13396	9160	9548	10563	9116	8328	11302	10744	10812	11696	9862
"Glucaric_acid-1,4-lactone_(4TMS)_660551.44_TRUE"	643	742	809	798	812	700	907	1150	819	982	849	834	683	661	849	834	732	843	857	906	793	814
GlucoNaNte|GalactoNaNte [MP-1.1]	1504	1620	1434	982	1623	1780	1381	84625	2039	1911	1341	2214	1271	1087	1562	1089	1212	2165	1248	2020	1428	1236
"Gluconic_acid,_2-oxo-_(1MEOX)_(5TMS)_BP_593592.06_TRUE"	2127	2029	2441	2367	2340	2140	2428	841	2276	2430	2389	2241	2275	2419	2447	2776	2115	2359	2354	2311	2278	2328
Gluconic_acid-6-phosphate_[-H2O]_(5TMS)_762561.19_TRUE	3542	3663	5583	4987	4261	10424	7328	280	11446	11115	3811	4904	6926	10210	4419	9879	5992	3452	6953	8701	3539	9398
Glucopyranose_[-H20]_(4TMS)_561007.94_TRUE	1223	1458	1539	1523	1362	3381	1633	13148	3790	2625	2720	2012	2428	3701	1496	2176	1907	2976	2072	2873	1398	2889
"Glucopyranoside,_1-O-methyl-,_alpha-_(4TMS)_613929.06_TRUE"	6204	3967	2876	2054	5311	7068	3139	8801	3357	5676	4035	10585	3419	3964	2174	2457	4669	3598	2473	4128	3284	5546
Glucose (1MEOX;5TMS) [MP-1.2]	13624	13335	14680	14983	15218	13602	13867	9165	15292	15689	13567	14754	13855	14794	13922	15670	13824	14664	15038	14435	14309	13772
Glucose 6-P|Galactose 6-P (1MEOX;6TMS) [MP-1.1]	5900	7098	6791	7049	7830	23055	11929	NaN	37163	20308	16333	14006	20199	23760	9591	15956	14156	18283	15464	19327	8132	28927
Glucose 6-P|Galactose 6-P (1MEOX;6TMS) [MP-1.2]	956	1061	1087	1315	1173	3530	1867	NaN	5453	3027	2510	2272	2948	3595	1384	2560	2105	2780	2262	2687	1316	4424
"Glucose, 1,6-Anhydro- (3TMS) [MP-1.1]"	11278	11528	11143	7821	8481	19612	9406	10378	18879	15974	9945	12716	8452	8986	6153	5866	8269	23803	6857	18525	8762	10515
"Glucose,_3-O-methyl-_(1MEOX)_(4TMS)_613285.81_PRED"	1547	837	746	527	1347	1644	777	1984	777	1288	953	2496	854	998	453	583	1190	779	646	921	806	1310
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	5500	5258	6112	6343	6115	5491	6056	1360	6750	6153	5701	5598	6155	6454	6055	7042	5890	5724	6499	6054	5595	5874
Glucose-6-phosphate_(1MEOX)_(6TMS)_BP_781714.75_PRED	1129	1234	1280	1430	1480	3989	2178	302	6366	3681	3020	2436	3379	4147	1738	3023	2458	3379	2847	3599	1454	5315
